-5,3.8631,10.169,39.273
-4.9931,3.856,10.137,39.146
-4.9819,3.8581,10.146,39.183
-4.975,3.8534,10.125,39.1
-4.975,3.861,10.159,39.235
-4.9681,3.8564,10.139,39.154
-4.9569,3.8579,10.145,39.18
-4.95,3.855,10.132,39.129
-4.95,3.8598,10.154,39.214
-4.9431,3.8567,10.14,39.158
-4.9319,3.8576,10.144,39.176
-4.925,3.8559,10.136,39.144
-4.925,3.8589,10.15,39.198
-4.9181,3.8568,10.141,39.162
-4.9069,3.8572,10.142,39.168
-4.9,3.856,10.137,39.147
-4.9,3.8579,10.145,39.18
-4.8931,3.8568,10.14,39.161
-4.8819,3.8572,10.142,39.168
-4.875,3.8564,10.139,39.154
-4.875,3.8576,10.144,39.175
-4.8681,3.8568,10.141,39.162
-4.8569,3.8571,10.142,39.167
-4.85,3.8567,10.14,39.159
-4.85,3.8574,10.143,39.172
-4.8431,3.8569,10.141,39.162
-4.8319,3.8571,10.142,39.166
-4.825,3.8568,10.14,39.161
-4.825,3.8573,10.143,39.17
-4.8181,3.8569,10.141,39.163
-4.8069,3.857,10.141,39.165
-4.8,3.8569,10.141,39.162
-4.8,3.8572,10.142,39.168
-4.7931,3.857,10.141,39.164
-4.7819,3.857,10.141,39.165
-4.775,3.857,10.141,39.164
-4.775,3.8571,10.142,39.166
-4.7681,3.857,10.141,39.165
-4.7569,3.857,10.141,39.164
-4.75,3.857,10.141,39.164
-4.75,3.8571,10.142,39.165
-4.7431,3.857,10.141,39.165
-4.7319,3.857,10.141,39.164
-4.725,3.857,10.141,39.164
-4.725,3.857,10.141,39.165
-4.7181,3.857,10.141,39.165
-4.7069,3.857,10.141,39.165
-4.7,3.857,10.141,39.164
-4.7,3.857,10.141,39.165
-4.6931,3.857,10.141,39.165
-4.6819,3.8571,10.142,39.166
-4.675,3.8571,10.142,39.166
-4.675,3.8571,10.142,39.167
-4.6681,3.8572,10.142,39.168
-4.6569,3.8573,10.143,39.17
-4.65,3.8572,10.142,39.169
-4.65,3.8573,10.143,39.169
-4.6431,3.8572,10.142,39.168
-4.6319,3.8572,10.142,39.169
-4.625,3.8573,10.142,39.169
-4.625,3.8573,10.143,39.17
-4.6181,3.8572,10.142,39.169
-4.6069,3.8572,10.142,39.168
-4.6,3.8572,10.142,39.167
-4.6,3.8572,10.142,39.168
-4.5931,3.8571,10.142,39.166
-4.5819,3.857,10.141,39.164
-4.575,3.857,10.141,39.164
-4.575,3.857,10.141,39.164
-4.5681,3.857,10.141,39.165
-4.5569,3.8571,10.142,39.165
-4.55,3.8571,10.142,39.166
-4.55,3.8571,10.142,39.166
-4.5431,3.8571,10.142,39.167
-4.5319,3.8573,10.143,39.17
-4.525,3.8573,10.143,39.17
-4.525,3.8573,10.143,39.17
-4.5181,3.8572,10.142,39.169
-4.5069,3.8572,10.142,39.168
-4.5,3.8572,10.142,39.168
-4.5,3.8572,10.142,39.168
-4.4931,3.8571,10.142,39.166
-4.4819,3.857,10.141,39.164
-4.475,3.857,10.141,39.165
-4.475,3.857,10.141,39.165
-4.4681,3.8571,10.142,39.167
-4.4569,3.8573,10.143,39.17
-4.45,3.8573,10.143,39.17
-4.45,3.8573,10.143,39.17
-4.4431,3.8572,10.142,39.169
-4.4319,3.8572,10.142,39.168
-4.425,3.8572,10.142,39.168
-4.425,3.8572,10.142,39.168
-4.4181,3.8571,10.142,39.166
-4.4069,3.857,10.141,39.165
-4.4,3.857,10.141,39.165
-4.4,3.857,10.141,39.165
-4.3931,3.8571,10.142,39.167
-4.3819,3.8573,10.143,39.169
-4.375,3.8572,10.142,39.168
-4.375,3.8572,10.142,39.169
-4.3681,3.8571,10.142,39.166
-4.3569,3.857,10.141,39.164
-4.35,3.857,10.141,39.165
-4.35,3.857,10.141,39.165
-4.3431,3.8572,10.142,39.167
-4.3319,3.8573,10.143,39.17
-4.325,3.8573,10.143,39.17
-4.325,3.8573,10.143,39.17
-4.3181,3.8573,10.142,39.169
-4.3069,3.8572,10.142,39.168
-4.3,3.8572,10.142,39.167
-4.3,3.8572,10.142,39.167
-4.2931,3.8571,10.142,39.166
-4.2819,3.857,10.141,39.165
-4.275,3.857,10.141,39.165
-4.275,3.857,10.141,39.165
-4.2681,3.8571,10.142,39.167
-4.2569,3.8573,10.142,39.169
-4.25,3.8572,10.142,39.168
-4.25,3.8572,10.142,39.168
-4.2431,3.8571,10.142,39.166
-4.2319,3.857,10.141,39.164
-4.225,3.857,10.141,39.164
-4.225,3.857,10.141,39.164
-4.2181,3.857,10.141,39.164
-4.2069,3.8571,10.142,39.165
-4.2,3.8571,10.142,39.166
-4.2,3.8571,10.142,39.166
-4.1931,3.8571,10.142,39.167
-4.1819,3.8573,10.142,39.169
-4.175,3.8573,10.143,39.17
-4.175,3.8573,10.143,39.17
-4.1681,3.8573,10.142,39.169
-4.1569,3.8572,10.142,39.168
-4.15,3.8572,10.142,39.168
-4.15,3.8572,10.142,39.168
-4.1431,3.8572,10.142,39.169
-4.1319,3.8573,10.142,39.169
-4.125,3.8572,10.142,39.169
-4.125,3.8572,10.142,39.169
-4.1181,3.8572,10.142,39.169
-4.1069,3.8572,10.142,39.169
-4.1,3.8572,10.142,39.169
-4.1,3.8572,10.142,39.169
-4.0931,3.8572,10.142,39.169
-4.0819,3.8572,10.142,39.169
-4.075,3.8572,10.142,39.169
-4.075,3.8572,10.142,39.169
-4.0681,3.8572,10.142,39.169
-4.0569,3.8572,10.142,39.169
-4.05,3.8572,10.142,39.169
-4.05,3.8572,10.142,39.169
